	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
2	3	249	106	83.0	74.0	1.0	0	0	0.0	0.0	  	0.0	1.5	182152789	0	0	0
3	19	2878	277	151.47368421052633	151.0	2.375	2	1	0.10526315789473684	0.0	                  	0.0	3.1666666666666665	148020433	0	0	0
4	7	2394	563	342.0	328.0	1.4	0	0	0.0	0.0	      	0.0	2.3333333333333335	138413935	0	0	0
5	50	1310	47	26.2	25.0	4.166666666666667	0	0	0.0	0.0	                                                 	0.0	12.5	366261055	0	0	0
6	35	1375	622	39.285714285714285	19.0	3.1818181818181817	0	0	0.0	0.0	                                  	0.0	8.75	111252392	0	0	0
7	10	183	40	18.3	17.5	2.5	0	0	0.0	0.0	         	0.0	1.6666666666666667	145109161	0	0	0
8	6	320	63	53.333333333333336	51.5	1.2	0	0	0.0	0.0	     	0.0	3.0	140207230	0	0	0
9	45	1558	81	34.62222222222222	34.0	3.75	0	0	0.0	0.0	                                            	0.0	7.5	226190631	0	0	0
10	16	1197	122	74.8125	71.0	2.2857142857142856	2	1	0.125	0.0	     Предновогоднее настроение 🌟💞       To the moon & back   Просто счастлива...❤️	0.0	5.333333333333333	72089509	0	0	0
11														409423465.0			
12	16	1563	219	97.6875	92.0	2.6666666666666665	0	0	0.0	0.0	              Красивое в простом, да?🛁 	0.0	4.0	200200185	0	0	0
13	7	158	44	22.571428571428573	15.0	2.3333333333333335	0	0	0.0	0.0	      	0.0	3.5	225034980	0	0	0
14	56	1075	138	19.196428571428573	14.5	4.666666666666667	1	1	0.017857142857142856	0.0	  ГРАЖДАНКА ЭРЭФ, 17 годиков фап-фап                               йоу                    Угадай кто 	0.0	8.0	202057474	0	0	0
15	18	647	68	35.94444444444444	35.0	2.0	0	0	0.0	0.0	                 	0.0	4.5	69234218	0	0	0
16	2	53	31	26.5	26.5	1.0	0	0	0.0	0.0	 	0.0	1.0	318022418	0	0	0
17														183553137.0			
18	7	238	54	34.0	36.0	1.1666666666666667	0	0	0.0	0.0	      	0.0	3.5	268125862	0	0	0
19	12	245	41	20.416666666666668	12.5	2.4	0	0	0.0	0.0	           	0.0	3.0	189498939	0	0	0
20	4	33	20	8.25	5.0	2.0	0	0	0.0	0.0	   	0.0	4.0	246467059	0	0	0
21	1	435	435	435.0	435.0	1.0	0	0	0.0	0.0		0.0	1.0	140518353	0	0	0
22	3	273	111	91.0	90.0	1.5	0	0	0.0	0.0	  	0.0	1.0	167112986	0	0	0
23	10	679	157	67.9	72.0	2.0	0	0	0.0	0.0	         	0.0	2.0	186415627	0	0	0
24	5	309	93	61.8	56.0	1.25	0	0	0.0	0.0	    	0.0	2.5	135097769	0	0	0
25	16	393	55	24.5625	24.5	1.6	1	1	0.0625	0.0	               	0.0	3.2	106288002	0	0	0
26	33	4508	280	136.6060606060606	121.0	2.75	2	1	0.06060606060606061	0.0	                                	0.0	8.25	241412773	0	0	0
27	1	115	115	115.0	115.0	1.0	0	0	0.0	0.0		0.0	1.0	101712503	0	0	0
28	3	72	43	24.0	22.0	1.0	0	0	0.0	0.0	 историческая ху*ня 	0.0	1.5	94832083	0	0	0
29	17	2935	260	172.64705882352942	170.0	1.8888888888888888	0	0	0.0	0.0	                	0.0	4.25	219446892	0	0	0
30	80	1620	130	20.25	9.0	8.0	0	0	0.0	0.0	                                                                               	0.0	13.333333333333334	172082574	0	0	0
31	1	51	51	51.0	51.0	1.0	0	0	0.0	0.0		0.0	1.0	240089844	0	0	0
32	76	6158	236	81.02631578947368	77.5	6.333333333333333	0	0	0.0	0.0	                                                                     I ll come back asap      	0.0	25.333333333333332	179016158	0	0	0
33	4	245	97	61.25	68.5	1.0	1	1	0.25	0.0	   	0.0	4.0	314253284	0	0	0
