	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
2	4	130	66	32.5	27.5	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	181029517	0	0	0
3	7	639	139	91.28571428571429	113.0	1.75	4	1	0.5714285714285714	1.0	      	0.0	2.3333333333333335	73703994	0	0	0
4	3	13	7	4.333333333333333	6.0	1.0	0	0	0.0	0.0	  	0.0	3.0	467673028	0	0	0
5	10	781	154	78.1	82.0	1.4285714285714286	0	0	0.0	0.0	         	0.0	3.3333333333333335	144910934	0	0	0
6	4	81	25	20.25	20.5	1.3333333333333333	0	0	0.0	0.0	   	0.0	4.0	166045266	0	0	0
7														494821147.0			
8	129	3381	76	26.209302325581394	28.0	10.75	1	1	0.007751937984496124	0.0	                                                                                                                                	0.0	21.5	153048650	0	0	0
9	279	2660	57	9.53405017921147	7.0	23.25	4	1	0.014336917562724014	0.0	                                                                                                                              Как бомжики    Какаха                                                                                                                                                    	0.0	31.0	152115241	0	0	0
10	39	2411	251	61.82051282051282	57.0	3.9	2	1	0.05128205128205128	0.0	"    много однообразных фоток, но они же 
все классные    Когда переговоры действительно важные        походный повар                      "	0.0	7.8	166828272	0	0	0
11	53	1447	64	27.30188679245283	25.0	4.818181818181818	0	0	0.0	0.0	                                                    	0.0	13.25	221905109	0	0	0
12	4	247	82	61.75	62.5	1.0	0	0	0.0	0.0	   	0.0	2.0	223306846	0	0	0
13	34	1283	245	37.73529411764706	24.0	2.8333333333333335	0	0	0.0	0.0	                                 	0.0	6.8	122442308	0	0	0
14	16	85	22	5.3125	4.0	2.6666666666666665	0	0	0.0	0.0	               	0.0	5.333333333333333	355337196	0	0	0
15	89	4194	130	47.12359550561798	45.0	7.416666666666667	0	0	0.0	0.0	Стану птицей вольной                           no filters🔙        each time harder to say goodbye to you                                                     	0.0	9.88888888888889	134713433	0	0	0
16	11	923	154	83.9090909090909	81.0	1.5714285714285714	0	0	0.0	0.0	          	0.0	2.75	149265222	0	0	0
17	7	455	132	65.0	67.0	1.0	0	0	0.0	0.0	      	0.0	2.3333333333333335	77312439	0	0	0
